@relation spambase-weka.filters.unsupervised.attribute.RandomProjection-N35-R71-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute K17 numeric
@attribute K18 numeric
@attribute K19 numeric
@attribute K20 numeric
@attribute K21 numeric
@attribute K22 numeric
@attribute K23 numeric
@attribute K24 numeric
@attribute K25 numeric
@attribute K26 numeric
@attribute K27 numeric
@attribute K28 numeric
@attribute K29 numeric
@attribute K30 numeric
@attribute K31 numeric
@attribute K32 numeric
@attribute K33 numeric
@attribute K34 numeric
@attribute K35 numeric
@attribute Class {1,0}
@attribute Cluster {cluster0,cluster1}

@data
660,9.851905,-279.144236,101.465268,372.979821,106.819037,-5.528706,-2.230881,-4.834154,277.235516,-283.252661,-0.107387,-177.656451,8.237634,-12.072394,-285.318997,-5.125138,-1.586559,-375.437601,4.849742,-272.079201,101.008007,-281.65571,-102.487178,109.917676,8.559795,-96.696932,0.860829,-101.437556,284.839219,94.706806,-14.916422,-6.865849,-97.233868,-8.033252,-270.788823,1,cluster1
661,8.244562,-5.196152,1.732051,-1.316359,9.976613,0,0,-8.244562,5.196152,-13.440714,0,-11.708663,1.732051,-1.732051,-5.196152,0,0,-5.196152,1.732051,3.048409,1.732051,-6.928203,-1.732051,3.464102,1.732051,0,0,-1.732051,13.440714,0,-9.976613,-1.732051,0,-8.244562,3.048409,1,cluster1
662,2.667358,-1715.608449,230.009419,1947.032954,227.776806,-2.909845,0,0.767299,1715.249915,-1716.578398,0.727461,-1485.765307,10.591491,-12.2889,-1717.345696,-3.06573,-0.116047,-1938.17871,7.924132,-1715.890774,228.105895,-1726.19994,-227.620921,239.989496,11.445392,-219.494139,-0.687624,-225.564977,1717.432299,220.01895,-10.591491,-11.076465,-219.863065,-3.39482,-1717.189812,1,cluster0
663,6.287344,-5617.456461,336.540936,5946.805922,343.09848,-5.99636,-1.070407,-7.437426,5615.346823,-5626.047433,-1.077336,-5285.85187,14.052128,-11.270455,-5622.763465,-1.978002,-1.389105,-5942.855114,6.21633,-5610.524794,330.613858,-5622.910689,-332.754673,342.334646,11.363985,-324.400992,-2.171992,-328.971874,5624.370808,324.099615,-18.513891,-7.56733,-325.336299,-10.548189,-5609.974002,1,cluster0
664,7.291934,-453.191094,102.502767,552.853297,110.002547,-3.637307,0.912791,-6.593917,451.37244,-456.546076,0,-350.497801,8.873296,-9.779159,-462.076514,-3.729105,-1.519009,-553.795533,6.141852,-447.509967,105.34333,-458.427083,-104.437468,111.06949,10.991594,-96.269116,-1.420282,-102.005668,462.608254,94.542261,-15.858657,-7.960506,-95.962543,-7.291934,-445.89916,1,cluster0
665,2.130422,-420.095067,108.703509,519.996293,107.646958,-1.874079,1.532865,-2.419675,419.090478,-424.032018,-1.92604,-318.05649,6.661467,-6.108943,-424.986378,-1.006322,0.836581,-522.280868,8.58924,-417.147116,102.901138,-426.19535,-103.436342,110.586248,11.221957,-95.792802,1.465315,-99.570405,427.721287,96.612062,-12.850085,-6.458817,-96.927295,-7.984754,-419.831795,1,cluster0
666,2.442192,-203.412047,11.926902,214.272005,11.864548,0.484974,0.488438,-0.911059,204.381995,-205.857703,-1.454923,-195.461934,0.940504,-3.361911,-203.491721,-1.046159,1.451459,-214.401909,2.876936,-202.504452,11.282579,-206.292447,-11.286043,15.773787,3.846885,-7.033858,-0.4053,-10.794141,205.857703,7.110069,-5.319128,-3.846885,-8.485317,-4.382089,-204.849649,1,cluster1
667,9.716805,-604.399129,212.950451,816.991045,210.807904,-6.668396,-1.30943,-3.822636,605.005347,-610.381633,1.818653,-397.869391,10.607079,-12.522727,-607.771432,-5.287951,-1.115441,-812.101466,5.248114,-603.510587,208.630716,-612.581337,-207.321286,220.623436,10.704074,-201.808168,-1.477439,-205.696622,610.987851,201.640159,-13.146266,-10.097856,-202.51138,-6.685716,-604.988027,1,cluster0
668,12.990381,-1050.703589,137.924938,1181.120087,144.504999,-6.346234,-2.859616,-8.421231,1049.0235,-1058.489157,-1.7563,-914.211057,4.962326,-10.562046,-1056.798676,-4.735427,-1.702606,-1183.068644,3.96986,-1041.916895,137.834871,-1052.846136,-136.686522,143.481357,9.980077,-130.41823,-0.479778,-135.643827,1060.446375,126.327126,-18.484446,-6.897026,-132.723589,-10.063215,-1038.312498,1,cluster0
669,7.032126,-1899.004917,196.561786,2079.569482,191.840215,-3.658091,0,-5.850868,1897.014791,-1904.855785,0.637395,-1716.131529,9.1383,-24.477342,-1889.215366,-16.955045,-14.498997,-2061.899099,34.266893,-1894.054716,185.928726,-1907.391507,-198.700869,194.017403,8.461068,-151.28771,-1.576166,-169.929773,1904.892158,162.895914,-28.603087,-9.775695,-162.218682,-7.014806,-1892.438712,1,cluster0
670,-0.017321,-206.060353,65.729596,274.374168,67.600211,-2.234346,-0.76037,0.427817,214.272005,-218.740696,-2.234346,-154.912892,3.190438,-1.699142,-223.654525,-3.405212,-2.234346,-276.811164,8.419499,-216.934167,60.452037,-215.971147,-64.177679,63.720417,3.190438,-50.939614,-2.58422,-58.235012,217.980326,58.070467,-10.653845,-8.436819,-59.894317,-11.206369,-216.506351,1,cluster1
671,8.0575,-1109.90855,125.708784,1227.729574,128.902685,-6.658003,-3.027625,-5.812763,1108.086432,-1116.518056,-1.704338,-989.562196,8.393518,-9.519351,-1109.648742,-2.099246,-2.161599,-1223.236634,6.550616,-1103.70088,119.944518,-1112.853036,-120.917931,128.861116,8.4628,-113.525538,-1.361392,-115.89152,1114.751364,111.104131,-14.566547,-7.323111,-114.516271,-7.070231,-1101.393788,1,cluster0
672,0,-2299.169275,2306.655199,4600.950483,2299.020319,-1.361392,0,2.740104,2298.580378,-2298.985678,-0.772495,2.39023,1149.087539,-1153.431522,-2303.308877,-3.734302,-0.183597,-3452.431057,1151.848428,-2297.787099,2296.096617,-3451.423003,-2295.286017,3450.075468,1153.61512,-1148.938583,1.96761,-2290.980139,2302.519062,1148.734201,-1152.437325,-1153.026223,-1148.349685,-5.888973,-2300.163472,1,cluster0
673,6.962844,-141.681756,29.217965,170.416479,34.294606,-4.174242,-0.232095,-2.090585,137.524834,-140.081341,4.156922,-104.615869,7.934525,-9.569581,-144.93628,-4.872259,-2.539186,-168.275664,2.624057,-136.587795,33.828684,-146.845,-33.59659,38.770225,10.937901,-28.667173,-2.30536,-34.060779,144.238263,26.593908,-8.201261,-6.780979,-30.284908,-6.945524,-136.121873,1,cluster1
674,11.535458,-53.693575,25.012546,59.478625,28.855966,0,0,-9.61115,53.693575,-65.229033,0,-42.140796,-3.32727,-2.44046,-55.617883,-1.924308,0,-70.497932,2.44046,-44.082425,21.163929,-56.134035,-15.3962,21.685276,8.208189,-14.880048,1.924308,-15.3962,65.229033,11.036628,-13.975918,-2.44046,-14.880048,-11.535458,-42.158117,1,cluster1
675,0.015588,-15740.288842,267.168837,16008.16782,267.238119,-0.190526,-0.28752,0.025981,15740.462047,-15741.109834,-0.606218,-15473.91848,28.228964,-28.672369,-15741.000715,-0.374123,0.356802,-15979.408848,28.722599,-15740.652573,267.186158,-15769.160397,-266.275099,295.910488,28.984138,-237.394884,-0.173205,-265.620384,15740.867347,237.561161,-28.984138,-28.965086,-237.87293,-0.294449,-15741.049212,1,cluster0
676,4.260845,-327.555056,78.716513,398.596852,80.471081,-5.87858,-1.006322,-4.496404,327.555056,-331.322267,-2.327876,-251.857508,7.146442,-7.757856,-335.150099,-2.407551,-1.321555,-400.761916,3.694464,-324.182754,74.414099,-330.045745,-76.643248,81.503383,6.535028,-72.21959,2.821511,-74.197592,332.032408,70.56375,-10.795873,-5.824887,-72.515771,-4.260845,-322.386617,1,cluster1
677,8.002075,-191.809038,24.915551,209.231738,31.523325,-1.733783,-0.138564,-6.74807,191.081577,-198.666228,1.176062,-174.55608,5.23599,-2.634449,-193.09422,-0.975145,-0.867757,-212.526098,3.640771,-186.377327,23.581872,-195.759846,-22.546105,28.277461,5.823155,-19.014454,-0.618342,-23.271835,200.12115,20.268459,-10.915384,-4.368232,-20.607941,-8.002075,-184.983026,1,cluster1
678,7.084088,-1808.472353,102.986009,1904.545747,98.591796,-6.789639,0.519615,0.382783,1806.338467,-1809.892635,4.382089,-1710.039906,8.093873,-11.454052,-1813.826122,-6.171297,-0.55772,-1905.494911,3.469298,-1802.862241,95.468908,-1814.609009,-94.724127,102.284528,9.787819,-92.018663,-1.228024,-89.316664,1813.145426,92.17628,-11.973667,-5.911489,-91.270417,-8.53901,-1806.407749,1,cluster0
679,0.015588,-15743.752944,267.175765,16011.631921,267.238119,-0.190526,-0.28752,0.032909,15743.926149,-15744.573936,-0.606218,-15477.382582,28.130237,-28.573642,-15744.471745,-0.381051,0.356802,-15982.978605,28.623872,-15744.123602,267.179229,-15772.525772,-266.268171,295.818689,28.885411,-237.493611,-0.166277,-265.613455,15744.331448,237.666816,-28.885411,-28.866359,-237.971657,-0.294449,-15744.513314,1,cluster0
680,7.108337,-6057.638121,203.573128,6259.250567,212.891561,-6.851993,-1.953753,-9.720269,6056.074079,-6070.146992,-0.772495,-5860.198186,11.665362,-10.445998,-6064.656391,-3.109031,-1.092924,-6257.142662,1.958949,-6052.511251,198.344066,-6060.715976,-199.431794,208.21156,8.227241,-195.633407,-1.596951,-196.35394,6067.741174,194.79163,-15.946992,-4.335323,-196.563518,-8.164888,-6051.941406,1,cluster0
681,5.213473,-117.536968,24.856661,139.308846,25.495788,-5.958255,-2.445656,-2.662162,116.047404,-120.304785,-1.489564,-92.04118,3.800119,-9.224903,-119.876968,-1.061747,0.21131,-136.892636,1.777084,-113.918714,21.666224,-116.123614,-22.199695,25.144182,3.266648,-18.293921,1.595219,-20.38797,118.070439,16.37654,-7.735339,-1.032302,-19.994795,-1.489564,-113.813059,1,cluster1
682,7.776908,-271.712006,55.15023,324.239911,62.180624,-5.772925,-4.07898,-4.861867,266.082841,-276.790379,1.986662,-218.983184,5.158047,-6.905687,-273.534124,-3.845153,-2.057676,-321.395884,2.407551,-263.879673,54.003612,-270.312509,-50.194832,56.37479,5.577204,-48.644647,0.164545,-46.171278,276.392008,45.895882,-8.781498,-2.407551,-51.286024,-7.395857,-263.133159,1,cluster1
683,4.018358,-893.201281,898.520409,1787.857485,900.025561,-8.019395,-0.232095,-7.976094,895.868639,-902.322261,-5.352037,-3.862473,225.402164,-226.967938,-905.050241,-1.394301,-1.101584,-1568.737469,222.9669,-894.346167,890.84396,-1118.603445,-893.279223,1118.802631,226.985258,-667.473492,3.846885,-888.408696,902.322261,664.849435,-232.337295,-228.301617,-669.039265,-2.667358,-890.499282,1,cluster0
684,1.662769,-2563.449052,187.406165,2741.5593,180.143676,-2.428335,0.277128,-2.090585,2563.577223,-2567.671791,0.758638,-2389.33984,7.750927,-15.659471,-2559.671449,-7.979558,-8.968559,-2728.170548,23.093433,-2564.406876,177.162817,-2570.223102,-184.808089,183.503855,7.252097,-153.160057,-1.193383,-165.014212,2568.077091,160.647712,-17.53355,-7.678181,-159.679496,-3.048409,-2564.197298,1,cluster0
685,6.270024,-1222.791497,135.908831,1355.485641,138.844657,-3.926559,-0.453797,-3.058802,1223.35961,-1230.293009,-0.826188,-1091.10887,5.65861,-8.842119,-1229.785518,-3.930023,-0.150688,-1355.935975,4.662681,-1221.37468,132.901991,-1227.403948,-132.992057,141.065146,8.400446,-127.212204,-1.03057,-129.363411,1230.393468,127.530901,-13.219012,-6.827744,-128.424639,-7.915472,-1219.640897,1,cluster0
686,7.222652,-3823.470981,496.868219,4314.122869,503.695963,-5.530438,-0.860829,-7.032126,3820.32038,-3830.191338,0.756906,-3329.727381,15.226459,-13.617383,-3828.298206,-3.093443,-1.809993,-4307.728138,7.543081,-3816.201564,492.498255,-3831.516357,-493.310587,505.68609,13.070055,-484.312583,-1.732051,-490.733295,3830.019865,483.706365,-18.991937,-9.656183,-484.828734,-9.387715,-3815.240275,1,cluster0
687,7.023466,-2793.920928,312.094771,3105.272649,320.983656,-4.054731,0.741318,-6.259632,2791.409455,-2799.583002,1.020178,-2483.624026,7.714554,-9.360003,-2796.148346,-2.992984,1.248809,-3105.535921,3.342858,-2787.784272,313.037007,-2795.744778,-315.181285,320.169592,7.685109,-307.42343,-2.98952,-312.106895,2801.311589,307.979418,-13.345451,-4.423658,-308.265207,-8.31038,-2788.544643,1,cluster0
688,-3.845153,-38.484437,23.658082,60.621778,15.207406,-0.76037,3.845153,3.845153,42.32959,-37.724067,-4.605523,-22.51666,5.956523,-4.435782,-40.808849,0.76037,-0.76037,-59.270779,5.196152,-42.32959,18.292189,-42.920219,-23.658082,28.093864,5.196152,-17.701559,-0.76037,-15.207406,41.569219,13.856406,-1.351,-9.041305,-17.701559,-7.690306,-49.259525,1,cluster1
689,11.067805,-150.584497,33.988033,181.241797,33.376619,-9.924651,-4.021822,-3.178313,148.419434,-156.539288,3.308217,-116.151327,3.564561,-13.094304,-147.853053,-2.935826,1.787476,-181.922492,-3.41214,-142.362452,35.016871,-147.584585,-31.531985,34.369084,11.431535,-27.830592,-4.394213,-29.114042,155.413455,21.932959,-10.374984,-3.186973,-30.726581,-8.781498,-145.648152,1,cluster1
690,17.71022,-147.657331,1.732051,150.6711,6.928203,-10.842638,-0.744782,-7.49978,146.791306,-156.534092,4.330127,-142.816249,5.357233,-13.047539,-153.225875,-8.989344,0.311769,-153.679672,-1.337143,-140.278795,5.629165,-150.338546,-6.971505,7.756124,5.313932,-3.034553,-5.274095,-6.373947,156.023137,3.424264,-15.662935,-4.014894,-6.533296,-11.197708,-143.309884,1,cluster1
691,2.580756,-146.375614,35.332104,186.663116,46.730731,0,1.281718,-2.391962,148.956369,-151.537125,0,-111.249623,3.919631,-3.919631,-147.863445,-0.188794,1.281718,-189.358187,3.919631,-147.846125,40.098708,-154.157718,-47.806334,48.241079,3.919631,-38.931306,-3.67368,-47.806334,150.255408,40.401817,-6.500387,-5.218669,-41.512062,-5.161511,-146.375614,1,cluster1
692,-0.017321,-206.060353,65.729596,274.374168,67.600211,-2.234346,-0.76037,0.427817,214.272005,-218.740696,-2.234346,-154.912892,3.190438,-1.699142,-223.654525,-3.405212,-2.234346,-276.811164,8.419499,-216.934167,60.452037,-215.971147,-64.177679,63.720417,3.190438,-50.939614,-2.58422,-58.235012,217.980326,58.070467,-10.653845,-8.436819,-59.894317,-11.206369,-216.506351,1,cluster1
693,1.243612,-343.188547,124.934557,464.432104,127.201811,-2.979127,0,2.201437,344.678111,-349.392753,-4.468691,-220.209476,22.977386,-24.46695,-355.570978,-12.628382,0,-449.614409,22.731435,-346.879547,114.573429,-361.451291,-114.327478,149.155555,23.223337,-98.020219,1.955485,-110.104738,349.146802,104.936298,-30.425204,-23.223337,-98.512122,-5.712304,-335.740729,1,cluster0
694,1.02191,-223.218048,47.037304,264.692004,49.831102,-1.203775,0.931843,-0.841777,220.152318,-219.880386,-2.225685,-171.161261,5.090497,-6.860653,-222.944384,2.045552,-0.091799,-260.805282,4.998699,-219.220475,47.51535,-224.879085,-47.789014,51.854137,6.020609,-40.654697,1.952021,-46.765372,221.924206,39.81292,-4.998699,-2.954879,-41.766673,-1.02191,-219.970453,1,cluster1
695,3.152332,-2337.511684,1159.665173,3501.894964,1159.807202,-7.756124,-3.152332,-0.536936,2338.369049,-2338.104045,1.285182,-1182.185298,16.814749,-16.284742,-2340.220611,-2.696803,2.852688,-3491.935672,10.097856,-2337.321158,1159.178467,-2349.604863,-1155.724758,1171.126154,15.475874,-1143.04961,-2.040356,-1154.593729,2342.425512,1143.39602,-14.462624,-15.34597,-1144.253385,-5.230793,-2341.057192,1,cluster0
696,5.310468,-1256.807243,607.807805,1860.568977,612.884446,-4.068587,-0.613146,-5.390142,1257.293949,-1264.388429,1.040963,-652.936389,9.848441,-12.578153,-1263.759695,-1.060015,-0.994197,-1855.74868,9.41716,-1254.656036,609.132824,-1267.739948,-608.100522,616.469791,14.570011,-596.353753,-1.924308,-604.878907,1264.892456,592.529385,-15.538228,-11.686147,-597.159157,-7.707626,-1254.500151,1,cluster0
697,7.361216,-1925.791083,909.311086,2839.957107,913.568466,-9.347878,-1.36832,-2.419675,1920.891111,-1927.285843,6.067374,-1020.245476,25.287942,-25.246373,-1923.988018,-1.861955,2.570363,-2825.286636,13.878923,-1919.889986,907.923713,-1940.662471,-908.450256,928.354984,23.701383,-888.311702,-4.873991,-904.057775,1932.951381,889.823782,-23.561087,-18.694024,-888.244152,-8.989344,-1924.429691,1,cluster0
698,3.152332,-2337.511684,1159.665173,3501.894964,1159.807202,-7.756124,-3.152332,-0.536936,2338.369049,-2338.104045,1.285182,-1182.185298,16.814749,-16.284742,-2340.220611,-2.696803,2.852688,-3491.935672,10.097856,-2337.321158,1159.178467,-2349.604863,-1155.724758,1171.126154,15.475874,-1143.04961,-2.040356,-1154.593729,2342.425512,1143.39602,-14.462624,-15.34597,-1144.253385,-5.230793,-2341.057192,1,cluster0
699,7.071963,-2751.421598,204.170685,2950.600512,206.730656,-5.850868,-1.254005,-4.970986,2751.012834,-2758.860756,-0.412228,-2552.521543,9.877886,-11.900921,-2755.37587,-2.629253,-0.34641,-2946.109304,7.34736,-2747.292388,200.166184,-2757.29325,-200.607857,209.78253,9.87269,-192.015153,-1.643716,-196.366064,2757.920252,191.78479,-16.296866,-8.895813,-192.174501,-7.539617,-2746.65153,1,cluster0
700,6.990557,-1780.788985,103.225032,1877.179345,98.818695,-6.522903,0.155885,0.536936,1778.601405,-1782.3894,4.267773,-1682.474317,7.740535,-11.183852,-1785.770363,-6.029269,-0.569845,-1877.63141,3.618254,-1775.184069,95.314756,-1786.904857,-94.382913,102.203122,9.491638,-91.689574,-1.111977,-89.240454,1785.32869,91.956309,-12.042949,-5.904561,-91.286006,-8.504369,-1778.289636,1,cluster0
701,0,-819.464414,109.659601,902.398471,86.806922,0,0,0,817.527981,-819.464414,0,-734.593924,3.552436,-30.27798,-792.73887,-28.661977,-28.661977,-872.120491,57.003524,-819.464414,84.87049,-823.01685,-111.596034,88.422926,1.616003,-27.866965,0,-56.208513,817.527981,54.592509,-30.27798,-3.552436,-52.656077,0,-817.527981,1,cluster0
702,9.481246,-179.405823,20.504017,200.900573,17.805482,-6.200742,0,-3.945612,181.865335,-185.589244,1.247077,-162.026425,4.328395,-9.28206,-183.777519,-3.945612,0,-201.764867,0.161081,-178.363128,20.060612,-185.390058,-20.060612,23.585336,6.787907,-15.97124,-3.484886,-18.830856,185.589244,14.963187,-10.529137,-5.097426,-17.200997,-6.183421,-181.404609,1,cluster1
703,3.100371,-1112.485841,196.904732,1305.342771,200.519522,-3.678876,-0.116047,1.569238,1105.176587,-1106.976188,1.066943,-908.85902,6.372215,-9.522815,-1110.755523,-3.502207,-1.016714,-1301.457781,3.658091,-1104.637919,196.21884,-1114.011778,-198.437597,204.504971,10.984666,-191.653154,-1.428942,-192.462022,1111.185071,189.030829,-5.355501,-6.481334,-192.912355,-10.149818,-1107.126876,1,cluster0
704,7.075428,-1811.950311,103.145358,1908.009849,98.766733,-6.974969,0.34641,0.349874,1809.814693,-1813.531674,4.196759,-1713.341195,7.910276,-11.592616,-1817.610653,-6.309861,-0.571577,-1908.784076,3.611326,-1806.31595,95.481033,-1817.887781,-94.7605,102.237763,9.590365,-92.04118,-1.091192,-89.165976,1816.609528,92.001343,-12.124356,-5.880312,-91.291202,-8.53901,-1809.689985,1,cluster0
705,-6.928203,-84.87049,25.980762,110.851252,32.908965,0,6.928203,0,84.87049,-77.942286,0,-51.961524,21.07213,-14.143927,-91.798693,0,0,-103.635528,14.143927,-84.87049,32.908965,-99.014416,-39.837169,47.052892,14.143927,-25.693242,0,-32.908965,84.87049,25.693242,-7.215724,-14.143927,-18.765038,0,-91.798693,1,cluster1
706,-1.468779,-1689.217191,634.214652,2311.439123,631.644289,-5.057588,-0.168009,-4.364768,1689.961973,-1696.595728,0.051962,-1063.157034,46.242292,-42.114815,-1702.60248,5.19442,0.21997,-2274.180978,42.083638,-1688.202209,629.818707,-1734.513784,-627.179062,665.942359,48.812656,-580.463919,-0.420888,-624.825204,1696.427719,581.967339,-50.861672,-40.947413,-583.895112,-7.868707,-1687.258242,1,cluster0
707,8.556331,-881.859812,113.170468,987.996422,117.805436,-4.6367,-1.633324,-4.78046,880.811922,-888.406964,0.022517,-774.114128,6.517707,-9.858833,-885.415713,-3.807048,0.157617,-987.04033,5.765997,-874.441439,110.168824,-886.205528,-109.737543,117.131668,6.502119,-104.699007,0.121244,-106.851946,888.121176,104.352597,-14.305008,-6.770587,-105.215158,-8.348485,-875.135991,1,cluster0
708,10.374984,-159.544396,13.606991,173.84594,25.062775,-8.786694,0.640859,-9.313237,158.262678,-170.139351,2.835367,-145.734755,9.048233,-9.592097,-163.678801,-2.598076,0.254611,-175.945185,-0.361999,-152.794594,19.111449,-160.718726,-19.260405,18.643795,6.08123,-14.478213,-5.78505,-12.430929,170.139351,14.84714,-11.935562,-2.859616,-14.460892,-7.136049,-155.901893,1,cluster1
709,6.010216,-864.859734,198.205502,1061.314132,200.848612,-2.679483,0.538668,-2.501081,863.162324,-867.412776,0.282324,-668.138599,6.230187,-9.702949,-866.042724,-2.509742,0.176669,-1063.648937,3.860741,-862.048615,196.719403,-868.27707,-200.070921,206.644054,10.702342,-192.416988,-1.229756,-197.59582,871.257929,191.630637,-10.28665,-6.424176,-193.593051,-7.707626,-863.877661,1,cluster0
710,7.023466,-2807.777335,312.174445,3119.059774,320.983656,-4.054731,0.741318,-6.179957,2805.335143,-2813.508691,0.881614,-2497.41115,7.615827,-9.469122,-2810.153708,-3.003376,1.318091,-3119.362883,3.451977,-2801.651071,313.026614,-2809.641021,-315.240175,320.219821,7.655665,-307.383593,-2.909845,-312.096503,2815.167995,307.949973,-13.523853,-4.463495,-308.225369,-8.31038,-2802.401049,1,cluster0
711,6.581793,-1251.623215,443.747953,1704.996174,443.843216,-11.46964,-3.829564,-0.796743,1251.410173,-1250.28434,4.153458,-803.867296,21.877534,-21.681812,-1250.315516,0.552524,2.850956,-1694.307688,9.301113,-1251.898611,446.694171,-1264.504477,-447.703957,463.945397,18.978081,-427.243241,-2.949683,-449.465453,1251.716746,432.196906,-17.528354,-14.220137,-432.522532,0.848705,-1253.935503,1,cluster0
712,2.73664,-509.406535,131.240954,636.320826,135.463694,-0.356802,0.912791,-0.019053,503.933254,-508.871331,1.271325,-376.859615,7.402785,-9.067286,-505.187259,-1.269593,2.558239,-632.7095,7.224384,-502.661929,130.922256,-511.713626,-132.565973,139.788625,8.315576,-123.141884,0,-129.829332,507.762819,125.859472,-10.49796,-3.396552,-124.411477,-3.256256,-505.2219,1,cluster0
713,4.884383,-335.45494,91.590847,427.920473,91.902616,-6.763658,1.628128,-2.191044,336.269004,-337.645984,3.005108,-240.858985,12.134748,-13.260581,-336.831921,-1.628128,0.562917,-425.242722,3.742962,-333.263896,93.842513,-343.017074,-96.786999,99.152981,11.069537,-88.973718,-4.070319,-93.279596,339.274112,88.410801,-9.441409,-7.813281,-88.159654,-3.256256,-339.274112,1,cluster1
714,3.100371,-1112.484109,196.903,1305.342771,200.519522,-3.677144,-0.114315,1.567506,1105.174855,-1106.97792,1.068675,-908.85902,6.372215,-9.524547,-1110.757255,-3.502207,-1.016714,-1301.457781,3.658091,-1104.636187,196.220572,-1114.01351,-198.437597,204.504971,10.984666,-191.654886,-1.42721,-192.46029,1111.186803,189.030829,-5.355501,-6.481334,-192.912355,-10.149818,-1107.126876,1,cluster0
715,4.884383,-330.506471,91.836798,422.72432,91.902616,-7.011342,1.628128,-2.192776,331.320535,-332.449832,2.757425,-235.662833,11.869744,-12.500211,-331.386353,-1.378712,0.315233,-420.557525,3.230275,-328.313695,93.596562,-337.308235,-97.036414,98.638561,10.55685,-89.486405,-4.319735,-93.281328,334.07796,88.921756,-8.928722,-7.300594,-88.672341,-3.256256,-334.07796,1,cluster1
716,3.39482,-74.547467,35.288803,109.257765,41.499937,-3.39482,6.789639,-6.211134,74.547467,-77.942286,3.39482,-39.837169,8.961631,-8.961631,-85.31043,-0.578505,0,-111.059098,5.566811,-75.125972,40.921432,-80.114278,-44.316252,44.250434,5.566811,-35.933126,-2.816315,-37.526613,84.731926,36.511631,-8.961631,-5.566811,-29.143487,-3.39482,-77.942286,1,cluster1
717,7.262489,-996.062582,191.840215,1187.061021,197.142023,-4.134405,-0.081406,-1.711266,997.326979,-1000.870755,-0.479778,-805.06934,9.46739,-13.473623,-1004.904702,-4.420194,-0.814064,-1185.633811,7.394125,-996.412457,191.445308,-1005.517848,-194.765649,204.898146,11.892261,-183.9386,-0.961288,-192.803236,1003.278306,183.521175,-14.386414,-11.880136,-186.860569,-8.556331,-995.536039,1,cluster0
718,8.764177,-179.475105,18.363203,193.539357,24.802968,-2.701999,1.974538,-6.509047,178.816925,-186.195462,0.658179,-161.392494,3.602666,-6.304665,-183.704773,-2.25513,1.316359,-197.526538,2.944486,-173.624237,22.547837,-183.73595,-22.547837,23.940406,4.260845,-17.181944,-1.105048,-21.231479,186.853641,18.709613,-12.366843,-2.944486,-17.840123,-6.062178,-175.387465,1,cluster1
719,-0.571577,-2336.1399,1992.308762,4323.181495,1986.073379,-1.318091,0.571577,3.202562,2334.425169,-2334.821809,-0.174937,-347.0337,583.737495,-587.960235,-2340.135741,-3.599202,-0.174937,-3740.535192,585.848865,-2333.626694,1982.69588,-2922.385405,-1982.474177,2570.552192,588.135172,-1401.939244,1.884471,-1977.155049,2338.822846,1401.712345,-585.848865,-586.992019,-1400.796091,-6.287344,-2336.536539,1,cluster0
720,-0.571577,-2336.1399,1992.255068,4323.198816,1986.073379,-1.30077,0.554256,3.21815,2334.44249,-2334.85645,-0.174937,-347.068341,583.720175,-587.908274,-2340.064727,-3.562829,-0.174937,-3740.516139,585.831545,-2333.694244,1982.714932,-2922.385405,-1982.49323,2570.56778,588.100531,-1401.904603,1.865419,-1977.208743,2338.788205,1401.693293,-585.814224,-586.974698,-1400.796091,-6.235383,-2336.55386,1,cluster0
721,8.920062,-427.511709,54.130052,488.923302,54.334434,-10.399233,-3.221615,-2.809386,427.182619,-427.470139,3.509135,-375.612538,9.553992,-13.004237,-422.125031,-2.830171,3.509135,-485.573516,-1.555382,-424.373232,56.73852,-429.482782,-56.128838,63.531624,9.131372,-49.844958,-4.617647,-56.814731,431.730984,47.763033,-7.01827,-7.34736,-49.827638,-5.663806,-429.600562,1,cluster1
722,3.152332,-2337.511684,1159.665173,3501.894964,1159.807202,-7.756124,-3.152332,-0.536936,2338.369049,-2338.104045,1.285182,-1182.185298,16.814749,-16.284742,-2340.220611,-2.696803,2.852688,-3491.935672,10.097856,-2337.321158,1159.178467,-2349.604863,-1155.724758,1171.126154,15.475874,-1143.04961,-2.040356,-1154.593729,2342.425512,1143.39602,-14.462624,-15.34597,-1144.253385,-5.230793,-2341.057192,1,cluster0
723,6.183421,-2316.335631,1008.609558,3327.113717,1010.760765,-8.25149,-2.099246,-1.901792,2316.763447,-2322.041006,2.608469,-1314.094823,13.742091,-14.80557,-2320.565299,-1.872347,1.255737,-3321.688934,5.892437,-2313.339183,1006.349232,-2325.179482,-1006.602111,1015.227724,13.854674,-995.766402,-4.371696,-1001.64325,2323.975707,995.146327,-14.067717,-12.162461,-998.102938,-10.58283,-2319.094788,1,cluster0
