@relation spambase-weka.filters.unsupervised.attribute.RandomProjection-N20-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute K17 numeric
@attribute K18 numeric
@attribute K19 numeric
@attribute K20 numeric
@attribute Class {1,0}
@attribute Cluster {cluster0,cluster1}

@data
704,5.287951,2.038624,1.732051,-2.57556,-98.73902,82.618824,-0.710141,1.723391,-5.767729,1804.277326,-0.926647,1815.43693,1814.77875,1810.789837,1811.41684,1817.089306,-1813.070948,-89.03434,-1709.272607,-0.128172,1,cluster1
705,0,0,6.928203,0,-32.908965,18.765038,0,0,0,70.726563,0,84.87049,84.87049,84.87049,84.87049,84.87049,-84.87049,-32.908965,-51.961524,0,1,cluster1
706,3.654627,0.727461,-4.567418,-3.671948,-629.969395,579.530344,2.014375,5.613577,-7.141245,1640.508458,0.013856,1692.9411,1692.9411,1692.282921,1696.678866,1693.54905,-1698.490591,-621.610518,-1062.213067,-0.860829,1,cluster1
707,7.387197,-1.082532,0.808868,-1.953753,-110.026796,97.966526,-2.083657,0.453797,-7.737071,874.401601,0,881.639842,887.776498,882.181974,882.665216,883.756408,-880.863883,-105.95128,-769.737235,-4.212348,1,cluster1
708,7.776908,-2.580756,1.939897,-4.520653,-19.646652,5.384946,3.186973,-2.177188,-11.015843,158.475721,0,161.704263,166.294198,156.832004,164.013087,164.065049,-160.167934,-10.087464,-139.766108,-4.941541,1,cluster1
709,8.573651,0.866025,2.253398,-2.024767,-198.55884,183.32199,0.95436,-0.715337,-4.834154,860.404899,-1.71473,867.27248,864.620711,865.00869,865.7604,866.626425,-867.042118,-191.990904,-658.520521,-3.580149,1,cluster1
710,8.642934,-1.229756,-0.020785,-2.944486,-314.105682,300.032769,0.585433,-3.699661,-6.387803,2801.936859,-0.33775,2812.019127,2810.806692,2807.167653,2807.938415,2809.672198,-2809.686055,-307.419966,-2488.565567,-3.867669,1,cluster1
711,6.742874,-1.027106,-1.370052,-4.465227,-449.676763,426.153781,3.566293,-1.480903,1.370052,1234.041167,0,1255.724711,1253.024444,1250.462741,1250.920002,1253.396835,-1252.56545,-447.721277,-791.566272,1.872347,1,cluster1
712,4.919024,-1.108513,-0.715337,-2.360785,-131.814263,122.78335,-0.178401,-2.379838,0.178401,496.925377,0,508.478156,506.474173,506.493225,507.761087,507.20683,-507.743766,-124.91204,-370.494328,0.73439,1,cluster1
713,2.442192,0,2.442192,-2.442192,-97.85221,80.019015,2.442192,1.065211,-5.698447,329.581556,-0.814064,336.831921,337.645984,331.69639,335.45494,337.897132,-336.269004,-89.772193,-238.728563,-1.065211,1,cluster1
714,7.621024,0.571577,3.81744,-0.980341,-195.041045,186.434485,0.994197,1.442798,-3.800119,1101.85971,-2.805922,1113.587426,1106.098038,1110.170089,1109.948387,1109.671259,-1108.562746,-186.070754,-908.36019,-0.646055,1,cluster1
715,2.442192,0,2.442192,-2.442192,-98.099894,80.531702,2.442192,1.312895,-5.698447,324.650407,-0.814064,331.635768,332.449832,326.252554,330.257056,332.699247,-331.07112,-89.526242,-233.286459,-1.312895,1,cluster1
716,3.39482,0,3.39482,-3.39482,-38.105118,29.143487,-3.39482,-3.39482,-6.789639,75.770295,0,81.337106,77.942286,77.942286,71.731152,81.915611,-78.520791,-34.131793,-35.863844,-3.39482,1,cluster1
717,6.096819,0.398372,2.360785,-2.92197,-195.098203,176.693431,1.14835,1.340607,-7.27981,989.260819,-1.546721,1000.501828,997.326979,998.012871,999.25302,999.223575,-999.604626,-186.62501,-803.765105,-5.797174,1,cluster1
718,6.720357,0.658179,0.658179,-4.018358,-20.78461,11.119766,-0.727461,-0.658179,-9.422356,177.188798,-0.658179,182.766001,184.220924,180.133284,177.642595,183.046593,-181.660953,-16.554942,-158.479185,-6.062178,1,cluster1
719,2.857884,2.857884,3.429461,1.71473,-1983.390432,1396.795053,0,1.889667,-2.857884,1752.799044,-1.71473,2339.966,2333.678656,2339.791063,2336.309641,2339.167525,-2339.167525,-1980.409573,-347.657238,1.539793,1,cluster1
720,2.840563,2.823243,3.39482,1.71473,-1983.407753,1396.864335,-0.017321,1.872347,-2.805922,1752.799044,-1.69741,2339.931359,2333.661335,2339.756422,2336.34255,2339.148472,-2339.131152,-1980.411305,-347.693611,1.522473,1,cluster1
721,8.53901,-2.840563,1.420282,-0.727461,-59.39895,39.851025,1.056551,-2.071533,-7.136049,421.466851,-2.130422,428.492049,429.981613,424.536045,424.626112,428.973559,-424.297022,-51.057394,-364.073616,-3.626914,1,cluster1
722,6.659735,-0.909327,1.385641,-1.01325,-1158.651924,1138.528957,1.195115,-1.622932,-3.464102,2323.315796,-1.385641,2340.892647,2340.909968,2340.047406,2340.485615,2342.234987,-2338.580359,-1152.432129,-1174.221328,-0.628734,1,cluster1
723,8.180476,-1.598683,1.053087,-1.349268,-1008.195598,988.42597,3.166189,-1.009786,-4.932881,2306.241239,-0.848705,2322.200355,2319.328615,2318.96142,2320.896121,2319.960813,-2319.198711,-997.347764,-1307.745125,-2.686411,1,cluster1
724,8.202993,-1.6212,1.053087,-1.326751,-1008.195598,988.42597,3.166189,-0.987269,-4.932881,2306.218722,-0.848705,2322.222872,2319.351131,2318.938903,2320.896121,2319.960813,-2319.198711,-997.370281,-1307.767642,-2.663894,1,cluster1
725,9.682164,1.610807,1.016714,-5.443836,-22.461235,14.038272,-0.611414,-1.314627,-10.716198,61.056523,-1.610807,67.428738,71.261766,68.743365,64.783896,71.261766,-69.633639,-18.629938,-35.131187,-8.367537,1,cluster1
726,6.505583,-0.841777,0.381051,-3.297825,-57.27892,48.306897,-4.745819,1.725123,-8.296523,385.855887,0,395.749361,394.277118,396.577281,392.527746,399.923603,-397.637296,-44.808154,-334.788101,-5.116478,1,cluster1
727,6.772319,0.6755,0.6755,-4.070319,-20.78461,11.327612,-0.69282,-0.6755,-9.491638,165.32425,-0.6755,170.710928,172.079248,168.008928,165.504383,170.943022,-169.574702,-16.499516,-146.334045,-6.096819,1,cluster1
728,0,0,0,0,-5.196152,3.368839,0,0,0,63.990617,0,65.817931,65.817931,65.817931,65.817931,65.817931,-65.817931,-5.196152,-60.621778,0,1,cluster1
729,4.021822,-1.475707,1.605611,-1.99359,-64.047775,50.956935,2.818047,0.316965,-4.757944,449.075741,0,458.078941,460.353124,455.039192,459.767691,458.537935,-457.879755,-58.047951,-392.778894,-1.816921,1,cluster1
730,2.078461,1.247077,0.415692,-0.831384,-84.801208,74.720672,1.247077,1.662769,-3.325538,240.374011,-1.247077,244.219164,246.297625,242.972087,244.787277,245.618661,-243.955892,-80.491865,-158.849844,-0,1,cluster1
731,9.093267,1.558846,-0.987269,-3.39482,-88.336323,74.06076,1.264397,1.872347,-11.085125,897.545264,-2.771281,901.70565,909.309353,902.587264,903.662868,904.321047,-903.281817,-85.145886,-811.290866,-5.873384,1,cluster1
732,6.789639,1.69741,0,-6.252703,-228.216746,212.134655,-2.286307,-0.41396,-14.739752,377.509134,-1.69741,386.766945,389.64215,384.357663,379.196151,391.112661,-387.6832,-220.784516,-152.559035,-8.627345,1,cluster1
733,5.923614,0.121244,1.229756,-2.355589,-203.555807,189.06547,1.558846,-1.91738,-3.06573,2232.066163,-0.727461,2246.331333,2245.257462,2242.948638,2243.021384,2245.27305,-2242.293923,-196.532341,-2035.069632,-0.559452,1,cluster1
734,6.661467,-1.447994,-0.311769,-0.370659,-100.209532,81.401192,-1.558846,-9.280328,-6.14878,1532.059561,-12.643971,1542.973213,1561.211708,1548.986894,1547.549291,1553.126495,-1551.25588,-95.820515,-1436.479801,0.433013,1,cluster1
735,8.296523,-0.987269,-0.382783,-4.3665,-181.153462,162.698461,-1.387373,1.662769,-12.572957,529.164038,-2.320948,538.407994,546.446441,542.0453,540.987017,544.658965,-539.012479,-172.981646,-357.218159,-4.330127,1,cluster1
736,1.247077,3.793191,0.601022,0.601022,-21.617726,12.659559,5.65861,5.255042,-4.394213,193.50818,-6.287344,198.718189,194.341297,198.486094,197.668566,196.404169,-198.915643,-19.107985,-178.105052,-3.973325,1,cluster1
737,1.922576,1.160474,0.381051,-0.779423,-84.679964,74.850576,1.160474,1.541525,-3.100371,278.279943,-1.160474,282.324282,284.246858,281.163808,282.835237,283.63198,-282.090455,-80.687587,-197.116042,-0.017321,1,cluster1
738,0,-2.338269,-4.676537,-2.338269,-35.247234,22.542641,4.676537,2.338269,-4.676537,146.644082,0,164.025211,154.672137,159.348674,160.190451,160.190451,-169.543525,-27.390651,-125.597932,-2.338269,1,cluster1
739,4.641896,0.017321,0.450333,-0.917987,-35.974695,26.917802,1.835974,1.454923,-7.413177,279.173681,-1.385641,284.039012,286.879575,283.98705,284.974319,284.523986,-284.039012,-32.164183,-246.713317,-1.974538,1,cluster1
740,5.421319,2.338269,1.411621,-7.110069,-19.702078,9.42582,-1.70607,3.230275,-14.609849,211.23572,-2.970467,216.333146,214.159422,217.077928,208.668821,220.21294,-214.012198,-9.119248,-197.912786,-6.980165,1,cluster1
741,2.944486,-1.766692,-0.091799,-1.269593,-31.216752,23.180036,-0.091799,0.096995,-1.085996,269.565995,0,275.430719,273.755826,274.744827,274.052007,273.46311,-272.874212,-27.782095,-242.464596,-0.685892,1,cluster1
742,1.818653,-0.900666,2.286307,-1.333679,-38.503489,29.496825,4.10496,3.637307,-5.923614,184.307526,-2.73664,191.408935,188.256602,190.525589,192.361563,190.525589,-189.590281,-36.199862,-151.156074,1.835974,1,cluster1
743,3.320341,-1.813457,0.744782,1.068675,-154.152522,136.591259,1.489564,-13.324667,-2.251666,816.980653,-16.627688,820.779041,852.562173,833.779814,836.450636,834.961073,-834.216291,-155.108614,-666.513935,1.796137,1,cluster1
744,1.628128,0,0.729193,0.036373,-19.435342,17.098806,0.746514,-0.225167,-0.053694,349.463767,-0.467654,353.338365,351.656543,354.273672,355.695686,353.374738,-353.149571,-18.894942,-331.860935,0.225167,1,cluster1
745,5.248114,-1.506884,0.415692,-4.312807,-93.163549,78.404744,1.662769,-0.384515,-6.235383,733.435182,0,746.219449,742.062527,740.524466,747.13224,744.222395,-744.222395,-84.394176,-651.883302,-5.331252,1,cluster1
746,6.864117,-0.663375,2.054212,-0.60795,-1205.595697,1185.285669,1.257469,-1.804797,-3.162725,2543.62573,-1.264397,2561.569776,2560.346949,2559.870635,2560.217045,2561.983737,-2558.640879,-1199.161128,-1347.625595,-0.713605,1,cluster1
747,21.650635,-10.825318,0,0,-1.732051,-21.650635,0,0,-21.650635,1.732051,0,-7.361216,25.114737,3.464102,14.289419,3.464102,7.361216,9.093267,-1.732051,-10.825318,1,cluster1
748,2.944486,-1.766692,-0.091799,-1.269593,-31.216752,23.180036,-0.091799,0.096995,-1.085996,269.565995,0,275.430719,273.755826,274.744827,274.053739,273.464842,-272.875944,-27.780363,-242.462864,-0.685892,1,cluster1
749,10.063215,-0.883346,1.602147,-1.822117,-70.000833,53.30906,1.307698,0,-11.665362,383.8571,-0.479778,388.568278,395.742433,387.390484,388.382949,389.484533,-388.197619,-66.708205,-315.370079,-7.816745,1,cluster1
750,14.900833,-5.92881,2.230881,3.206026,-99.728021,78.108563,4.205419,6.431105,-11.705199,587.392122,-0.987269,613.376349,614.211197,599.041896,604.312527,605.317116,-603.827553,-94.644452,-513.849245,-4.550097,1,cluster1
751,0,0,12.592009,0,-13.856406,9.623274,0,0,0,71.977103,0,76.210236,76.210236,76.210236,76.714262,76.714262,-76.714262,-13.35238,-61.849802,0,1,cluster1
752,6.529832,-1.299038,-0.1351,-1.451459,-34.83847,21.382167,-0.1351,-2.300163,-7.71109,421.520545,-2.165064,430.431946,428.401983,424.002574,427.69877,430.314167,-428.564795,-25.332975,-388.928545,-3.363643,1,cluster1
753,5.807566,-1.304234,1.020178,-5.556419,-242.866432,220.940401,-4.626308,-0.375855,-10.65038,400.547142,-1.125833,407.729956,406.155522,403.978334,402.637727,409.427366,-404.906713,-228.284296,-162.291429,1.304234,1,cluster1
754,6.758462,-1.250541,0.866025,-1.364856,-55.313043,47.891205,-1.160474,-0.871222,-8.729536,447.74033,-0.866025,450.405956,454.510917,450.061278,449.604017,452.513862,-449.309568,-49.411945,-392.392646,-3.607862,1,cluster1
755,6.928203,-1.229756,0.848705,-1.333679,-55.583242,47.925846,-1.991858,-0.881614,-8.261882,454.609643,-0.848705,457.330695,461.349053,456.999874,456.544344,459.107779,-455.955447,-49.784336,-399.069702,-3.240667,1,cluster1
756,7.262489,-1.598683,0.900666,-1.397765,-55.297454,47.787282,-1.489564,-1.231488,-8.954703,447.771507,-0.883346,450.425009,454.616572,450.057814,449.274927,452.565823,-448.980478,-49.23874,-392.011595,-3.711785,1,cluster1
757,6.696108,-0.9457,0.408764,-4.361304,-57.916315,50.156727,-4.077248,1.936433,-8.722608,291.774351,0,300.590489,298.934649,301.536189,298.441014,304.884243,-302.944346,-44.286807,-238.945069,-5.137263,1,cluster1
758,7.473799,-1.463583,0.159349,-2.374642,-462.741622,450.208502,0.713605,-1.997055,-8.005539,1399.550746,-0.204382,1410.538876,1412.333281,1407.504323,1410.907803,1410.845449,-1409.317781,-459.552916,-941.118467,-3.063998,1,cluster1
759,4.579542,-0.682428,0.116047,-0.171473,-36.281268,29.051688,-1.82385,-2.873472,-3.043213,402.833449,-3.5559,409.221252,415.946805,410.783562,410.549735,412.148418,-411.178469,-36.506435,-367.639908,-1.274789,1,cluster1
760,6.500387,-1.252273,0.866025,-1.380444,-55.316507,48.125032,-1.177795,-0.866025,-8.487049,444.245051,-0.866025,446.943587,450.788739,446.59198,446.124327,449.068813,-445.847198,-49.391161,-388.925081,-3.349786,1,cluster1
761,6.651075,1.316359,0.658179,-3.983717,-21.442789,10.563778,-0.69282,1.316359,-9.976613,171.367375,-1.316359,176.911669,179.613669,174.937132,173.788782,177.14896,-176.45614,-17.256422,-153.949872,-5.334716,1,cluster1
762,4.849742,1.610807,0,-4.849742,-126.439709,100.812285,-3.238935,1.610807,-11.310292,268.35356,-1.610807,289.131241,290.759369,287.520434,282.670692,292.370176,-287.520434,-121.589967,-161.080725,-3.238935,1,cluster1
763,8.331164,7.361216,-0.159349,-7.988218,-169.886471,129.003144,4.274701,5.016019,-6.734214,758.866884,-6.391267,786.281785,783.063634,783.777239,788.933554,784.499504,-784.499504,-171.235739,-604.69531,2.345197,1,cluster1
764,4.901704,1.628128,0,-4.901704,-112.583302,87.80978,-3.273576,1.628128,-11.431535,255.420336,-1.628128,275.292155,276.937604,273.664028,268.762324,278.565731,-273.664028,-107.681599,-161.080725,-3.273576,1,cluster1
765,8.25149,-1.063479,0.218238,-3.706589,-128.393462,110.613961,-1.323287,-1.946825,-11.268723,1297.62302,-0.917987,1308.502031,1309.080536,1304.69152,1300.647181,1308.181602,-1303.418462,-120.936984,-1171.678678,-3.044945,1,cluster1
766,4.070319,0.814064,1.628128,-0.814064,-10.392305,3.599202,4.070319,2.442192,-7.326575,91.622024,-2.442192,95.158871,94.344807,93.530744,95.546851,93.918723,-93.104659,-5.119942,-84.378587,-2.442192,1,cluster1
767,10.825318,0,-1.541525,-3.08305,-25.864715,3.332466,-4.624576,2.378106,-16.991418,73.371404,-3.08305,75.829184,83.571451,71.909553,76.243144,73.160094,-74.701619,-11.445392,-49.55051,-7.037322,1,cluster1
768,4.719838,-1.221096,0.500563,2.986056,-18.647259,13.430322,0.812332,5.736552,-2.423139,622.673997,-2.234346,631.860795,631.706642,626.825723,629.046212,627.140956,-629.046212,-19.932441,-613.279354,4.032214,1,cluster1
769,8.920062,1.610807,-1.006322,-3.361911,-20.788074,6.761926,1.366588,2.118298,-11.481765,792.361283,-2.494153,796.275718,803.482781,796.963342,798.146333,798.596666,-797.644038,-17.57512,-773.405719,-6.379143,1,cluster1
770,10.97947,-0.933575,0,1.680089,-76.487364,60.810572,2.009179,-11.814319,7.378536,862.403686,-12.00138,866.612569,888.677164,875.484133,876.043586,875.527435,-876.7901,-75.039369,-791.761993,5.556419,1,cluster1
771,9.179869,2.286307,1.002857,-5.873384,-31.625516,17.377666,-3.587077,1.524205,-14.772661,222.312185,-2.286307,229.947065,231.265156,227.660758,222.067966,232.77204,-227.420003,-27.035581,-191.422791,-6.13146,1,cluster1
772,10.756036,-3.464102,1.636788,-4.356108,-102.208318,86.98186,0.285788,-0.372391,-9.864029,387.735162,-0.415692,393.573905,400.181679,396.12868,398.86532,398.051256,-394.119501,-96.423268,-287.338569,-4.373428,1,cluster1
773,1.801333,1.801333,-1.034034,-0.133368,-18.919191,15.747806,2.568631,1.801333,-4.369964,130.969022,-0.900666,129.903811,131.838511,129.903811,129.136512,131.838511,-130.037178,-18.919191,-107.882517,0,1,cluster1
774,7.811549,0,0,-3.342858,-20.98726,13.198227,1.125833,-0.905863,-6.703037,105.798859,0,110.227713,113.587892,111.150896,112.287122,112.269801,-112.269801,-16.322847,-84.981341,-6.905687,1,cluster1
775,5.961719,2.802458,-3.431193,-4.016626,-23.531642,6.734214,5.332984,7.030394,-12.624918,297.943916,-4.382089,313.799109,310.68315,308.843712,309.434341,310.889264,-314.543891,-8.786694,-288.407244,-7.50844,1,cluster1
776,2.286307,7.655665,-1.207239,-3.493546,-41.900041,28.345011,5.686323,7.115265,-9.496835,191.980512,-6.893562,199.532253,193.880571,196.262141,194.308388,195.832593,-196.594695,-36.456205,-155.106882,-0.221703,1,cluster1
777,1.69741,2.546115,0.041569,-5.067981,-19.128769,12.430929,-4.219276,0.848705,-5.999824,335.448012,-0.848705,341.214009,345.415964,341.214009,336.104459,346.323559,-342.062714,-15.67506,-318.773559,-1.69741,1,cluster1
778,6.328914,-1.046159,1.347536,-1.139689,-1158.643263,1138.904812,1.312895,-1.439334,-3.52992,2434.425123,-1.351,2451.86341,2451.416541,2450.905586,2451.012973,2452.883588,-2449.471448,-1152.898051,-1285.465756,-0.452065,1,cluster1
779,3.438121,-3.438121,2.546115,1.751103,-21.214158,16.187747,-2.546115,3.867669,-2.546115,99.795571,0.859097,112.557322,111.698225,105.251531,105.713989,112.524413,-109.119201,-21.247067,-91.343163,2.149475,1,cluster1
780,8.816139,1.645448,-1.110245,-3.517795,-20.704935,6.945524,1.210704,2.156403,-11.516406,780.226535,-2.528794,784.151362,791.219861,784.939445,785.918054,786.576233,-785.519682,-17.467732,-761.364502,-6.261364,1,cluster1
781,15.744342,-10.496228,0,0,-24.248711,4.347448,0,0,-15.744342,37.412297,0,31.072991,57.313561,41.569219,52.065447,41.569219,-31.072991,-13.752483,-17.320508,-5.248114,1,cluster1
782,4.279898,-1.30077,-0.237291,-5.492333,-119.327908,108.779719,-4.792585,0.784619,-9.947168,907.178931,-0.543864,913.797097,917.611073,915.194862,911.056993,920.321733,-914.649266,-111.142236,-793.868167,-1.913916,1,cluster1
783,1.333679,0,-0.086603,-0.086603,-23.23373,20.247674,0.484974,0.024249,0.086603,523.21098,-0.381051,528.275496,527.02842,528.822824,530.241374,528.336118,-528.717169,-21.877534,-503.09321,-0.024249,1,cluster1
784,6.737678,-1.108513,-0.199186,-2.433531,-22.793789,8.03152,-4.667877,1.70607,-10.989862,93.525547,-2.217025,95.262794,102.199658,94.665237,97.949205,96.875334,-95.749501,-14.625437,-71.583928,-2.883865,1,cluster1
785,3.273576,0.814064,1.299038,-1.877543,-76.764492,71.648014,-1.991858,-0.814064,-4.572614,797.71332,0.114315,805.299702,803.90367,805.317023,800.746141,807.539244,-804.948096,-71.7121,-723.292293,-1.759764,1,cluster1
786,1.299038,0.173205,-0.090067,-0.055426,-23.254514,20.270191,0.46419,0.013856,0.072746,524.989796,-0.363731,530.180752,528.781255,530.547947,531.710153,530.064705,-530.636282,-22.116557,-504.870294,-0.239023,1,cluster1
787,4.297218,-1.144886,-0.237291,-5.353769,-119.327908,108.684456,-4.654021,0.784619,-9.825924,931.3497,-0.543864,938.201693,941.877105,939.443573,935.286651,944.430148,-939.05213,-111.438417,-818.11861,-2.087121,1,cluster1
788,4.297218,-1.144886,-0.237291,-5.353769,-119.327908,108.684456,-4.654021,0.784619,-9.825924,931.3497,-0.543864,938.201693,941.877105,939.443573,935.286651,944.430148,-939.05213,-111.438417,-818.11861,-2.087121,1,cluster1
789,5.646486,-0.935307,1.870615,-1.870615,-13.354112,0.718801,3.75855,0.935307,-7.517101,89.503725,0,96.49255,93.686628,89.928078,94.270329,89.576472,-92.399714,-5.25331,-85.36066,-5.663806,1,cluster1
790,6.200742,0,0.554256,-5.074909,-47.688555,35.844791,-1.143154,1.442798,-10.167138,237.48495,-1.69741,243.07601,247.631304,245.028032,244.700674,248.66707,-244.700674,-42.052462,-193.243177,-3.122888,1,cluster1
791,5.830083,0.318697,0.938772,-3.432925,-131.079873,113.619069,2.965271,-2.125226,-4.021822,1082.803687,0,1100.486193,1097.174512,1098.825157,1095.27272,1096.675682,-1096.658361,-125.734764,-957.036013,-2.218757,1,cluster1
792,15.332114,-1.822117,-0.316965,-1.179527,-89.091497,69.146932,-0.853901,-0.862561,10.605347,862.192375,-2.147743,882.13694,878.660714,877.401513,877.058567,880.817118,-880.280182,-83.7308,-785.431348,13.201691,1,cluster1
793,28.338083,0.795011,0.512687,-2.014375,-260.682307,238.707778,2.521866,-1.818653,21.328474,1520.782178,0,1543.051155,1541.152828,1541.074886,1538.533967,1539.711762,-1539.98889,-257.588864,-1270.762376,22.69333,1,cluster1
794,3.290897,-0.762102,-0.322161,-5.74348,-93.115051,81.106743,-0.928379,0.876418,-7.22958,915.362871,-0.969948,921.45103,926.241882,919.240933,921.530704,926.207241,-918.828705,-83.256218,-827.404135,2.622325,1,cluster1
795,2.511474,2.511474,1.794405,-0.699749,-22.301886,13.915296,4.305878,3.75855,-4.323199,154.585535,-3.75855,161.860148,160.048423,161.842827,160.827846,158.333693,-160.827846,-25.263693,-134.16812,1.247077,1,cluster1
796,4.297218,-1.144886,-0.237291,-5.509654,-119.327908,108.784915,-4.809905,0.784619,-9.981809,910.665549,-0.543864,917.417083,921.092495,918.658964,914.320176,923.775442,-918.241539,-111.308513,-797.359982,-2.087121,1,cluster1
797,6.651075,1.420282,0.545596,-1.35966,-214.692894,197.900661,1.948557,2.698535,-8.634273,504.728266,-2.37291,518.039076,517.060467,517.245797,516.540852,516.575493,-516.558173,-207.875542,-300.722125,-4.621112,1,cluster1
798,4.486012,2.563435,1.465315,-5.601452,-20.968207,10.70061,-0.474582,3.204294,-11.736376,293.139207,-3.204294,300.476174,296.447424,299.835315,293.409407,301.775212,-297.27188,-13.076984,-278.593444,-4.486012,1,cluster1
799,9.422356,-1.177795,0,-1.177795,-30.965604,23.154055,-1.177795,-3.121156,-5.888973,161.998712,0,169.810261,169.810261,165.864649,165.511311,169.044695,-170.222489,-23.839947,-129.010072,-5.123406,1,cluster1
800,4.193295,-0.26154,1.986662,-2.116566,-775.330027,754.754996,2.852688,1.127565,-5.918418,1102.9076,-0.866025,1123.115437,1119.362083,1116.893911,1121.397243,1118.799167,-1119.682513,-770.679471,-345.73293,-1.487832,1,cluster1
801,7.771712,-0.012124,1.37698,-1.815189,-126.588665,114.49029,-2.364249,0.689356,-8.51303,1680.10314,-1.02191,1688.830944,1692.009257,1687.644489,1685.664755,1690.583779,-1686.063127,-121.792617,-1557.394268,-2.587684,1,cluster1
802,8.232437,-2.222221,0.025981,-1.267861,-1159.266802,1140.399572,0.753442,-2.717588,-3.975057,2430.749711,-1.610807,2446.82141,2446.362417,2446.450752,2445.167302,2446.81275,-2443.712379,-1153.159591,-1279.469396,-1.809993,1,cluster1
803,2.217025,2.217025,0,-4.43405,-48.497423,37.465991,-6.651075,0,-4.43405,129.749658,2.217025,140.78109,142.998115,138.564065,135.186566,144.054666,-139.620616,-43.006822,-86.793066,0,1,cluster1
804,4.655753,-1.243612,1.250541,-1.870615,-684.180854,663.479382,1.267861,0.273664,-5.147655,944.788682,0,964.489028,962.251218,960.52956,963.501759,960.574593,-961.076888,-679.033199,-280.613015,-3.155797,1,cluster1
805,5.646486,0,0,0.431281,-24.248711,14.015755,0,-4.243524,-2.840563,261.094535,0.431281,270.33849,260.017199,263.271723,258.811692,263.917778,-263.486497,-24.033937,-234.564713,-0.448601,1,cluster1
806,2.944486,2.944486,2.944486,1.766692,-2293.382494,1522.392986,-0,1.948557,-2.944486,1537.314603,-1.766692,2308.304111,2303.004036,2308.711143,2305.148315,2308.092801,-2308.092801,-2290.285587,-6.299469,0.995929,1,cluster1
807,0,0,-0.767299,-0.767299,-28.391777,19.378184,-2.793798,3.178313,0.767299,97.133409,0,105.655099,106.422398,104.503285,108.064382,104.011383,-106.037882,-26.472665,-77.372442,0.874686,1,cluster1
808,0.883346,0.883346,0.637395,-2.012643,-227.903245,212.115602,2.404087,2.982591,-2.404087,471.310077,-0.883346,486.706277,487.835574,484.607031,487.712598,487.712598,-487.712598,-220.294346,-258.188154,-2.982591,1,cluster1
809,6.037929,-4.35784,1.229756,-7.90508,-1099.753536,1000.297446,-4.728499,0.448601,-13.042343,1174.231721,-0.831384,1274.037684,1273.656633,1275.120216,1272.67456,1284.521788,-1273.523265,-1081.568734,-167.028588,1.546721,1,cluster1
810,2.944486,2.944486,2.944486,1.766692,-2293.382494,1522.969758,-0,1.948557,-2.944486,1536.159325,-1.766692,2306.57206,2301.271985,2306.979092,2303.416264,2306.36075,-2306.36075,-2290.285587,-4.567418,0.995929,1,cluster1
811,4.297218,-1.144886,-0.237291,-5.509654,-119.327908,108.784915,-4.809905,0.784619,-9.981809,910.665549,-0.543864,917.417083,921.092495,918.658964,914.320176,923.775442,-918.241539,-111.308513,-797.359982,-2.087121,1,cluster1
812,8.232437,-2.222221,0.025981,-1.267861,-1159.266802,1140.399572,0.753442,-2.717588,-3.975057,2430.749711,-1.610807,2446.82141,2446.362417,2446.450752,2445.167302,2446.81275,-2443.712379,-1153.159591,-1279.469396,-1.809993,1,cluster1
813,8.036716,0,0,-4.018358,-72.746134,51.592597,-4.018358,-4.018358,-8.036716,215.791014,0,230.917014,228.907835,226.898656,218.86194,230.917014,-226.898656,-68.727776,-150.134164,-4.018358,1,cluster1
814,4.676537,2.338269,0,-4.676537,-48.497423,34.885235,-4.676537,0,-7.014806,129.628414,0,140.902333,145.57887,138.564065,134.989112,144.342186,-139.665649,-42.719301,-88.965058,-2.338269,1,cluster1
815,0,0,-1.351,0,-56.731592,36.838989,2.71932,0.318697,0,422.403891,0,438.208854,438.208854,435.170837,438.208854,438.208854,-439.559854,-52.023878,-381.477262,-0.318697,1,cluster1
816,6.985361,-2.499349,-0.012124,-2.274183,-463.259505,442.435058,2.274183,2.672554,-8.561527,4088.53884,-0.223435,4108.498994,4108.803835,4101.092744,4106.877794,4107.418194,-4106.359911,-451.779472,-3637.320552,-5.521778,1,cluster1
817,9.263008,0.176669,1.065211,-2.488957,-128.329376,111.578713,-1.965878,-1.274789,-7.525761,1161.532324,0,1173.582202,1175.115067,1171.396353,1165.516041,1173.171706,-1168.166079,-122.66557,-1036.95457,-1.711266,1,cluster1
818,6.541956,-1.345803,1.051355,-5.708839,-245.876736,225.545924,-4.196759,-0.975145,-9.780891,471.254652,-0.571577,479.391826,478.357792,475.539745,475.395985,480.089843,-476.5911,-231.968369,-229.590263,0.774227,1,cluster1
819,5.895901,-5.099158,1.207239,-7.705894,-1096.327539,995.988104,-3.763746,0.436477,-13.556762,1185.448482,-0.814064,1286.123935,1285.7654,1287.204735,1284.812772,1296.348231,-1285.609516,-1078.580947,-182.741753,1.517277,1,cluster1
